Gene.name,HGNC.symbol
Smim11,SMIM11B
Gtf2f2,GTF2F2
Pspc1,PSPC1
Fhod3,FHOD3
Dach1,DACH1
Enox1,ENOX1
Gm1123,CXADR
Cetn1,CETN1
Tmprss15,TMPRSS15
Kl,KL
Krtap11-1,KRTAP11-1
Cby2,CBY2
Pcdh8,PCDH8
Mettl4,METTL4
Mipep,MIPEP
Cdx2,CDX2
Tgds,TGDS
Dazl,DAZ2
Dazl,DAZ4
Dazl,DAZ1
Dazl,DAZ3
Colec12,COLEC12
Ggt1,GGT2
Ggt1,GGTLC3
Micu2,MICU2
Grik1,GRIK1
Cct8l1,CCT8L2
Cryl1,CRYL1
Nufip1,NUFIP1
Adra1d,ADRA1D
Dnajc15,DNAJC15
Usp16,USP16
Fam243,FAM243B
Fam243,FAM243A
Cldn8,CLDN8
Mrpl57,MRPL57
Katnal1,KATNAL1
Elf1,ELF1
Il17ra,IL17RA
Svs3a,SEMG2
Svs3a,SEMG1
Lyzl1,LYZL2
Stk11,STK11
Rock1,ROCK1
Itih5,ITIH5
Rnf185,RNF185
Tnfsf11,TNFSF11
Cnksr2,CNKSR2
Polr3f,POLR3F
Abcg1,ABCG1
Cyb5r3,CYB5R3
Crk,CRK
Diaph3,DIAPH3
Eif3d,EIF3D
Parvg,PARVG
Cstdc2,CST9L
Rb1,RB1
Fstl3,FSTL3
Pvalb,PVALB
Dph3,DPH3
Bmp2,BMP2
Smox,SMOX
Zdhhc20,ZDHHC20
Cybb,CYBB
Mrpl39,MRPL39
Apol7a,APOL2
Farp1,FARP1
Cep192,CEP192
Rbm26,RBM26
Cdh2,CDH2
Dach2,DACH2
Cdh7,CDH7
Efcab6,EFCAB6
Ggt1,GGTLC2
Ggt1,GGTLC1
Optn,OPTN
Btg3,BTG3
Atp5c1,ATP5F1C
Gpr180,GPR180
Pias2,PIAS2
Tsc2,TSC2
Vps26c,VPS26C
Ucma,UCMA
Fsd1,FSD1
Wdr4,WDR4
Bfsp1,BFSP1
Cbln2,CBLN2
Rpa3,RPA3
Tubgcp3,TUBGCP3
Itga8,ITGA8
Itsn1,ITSN1
Acbd7,ACBD7
Psmg1,PSMG1
Flywch2,FLYWCH2
Usp32,USP6
Telo2,TELO2
Ak3,AK3
Brat1,BRAT1
Gtse1,GTSE1
Prdm15,PRDM15
Rcbtb2,RCBTB2
Ttc39c,TTC39C
Hormad2,HORMAD2
Arid3a,ARID3A
Ptgis,PTGIS
Ifngr2,IFNGR2
Fbxo7,FBXO7
Dip2a,DIP2A
Slc5a1,SLC5A1
Cstb,CSTB
Dclre1c,DCLRE1C
Sfi1,SFI1
Phyh,PHYH
Adamts5,ADAMTS5
Bach1,BACH1
Prmt2,PRMT2
Tmem184b,TMEM184B
Mapk4,MAPK4
Zfp334,ZNF334
Spire1,SPIRE1
Ppara,PPARA
Tekt1,TEKT1
Ywhab,YWHAB
Poglut2,POGLUT2
Ednrb,EDNRB
Sec61a2,SEC61A2
Esd,ESD
Fam118a,FAM118A
Efnb2,EFNB2
Pip4k2a,PIP4K2A
Ralbp1,RALBP1
Svil,SVIL
Atrn,ATRN
Slc13a3,SLC13A3
Dennd6b,DENND6B
Doc2b,DOC2B
Brd1,BRD1
Cbr3,CBR3
Sod1,SOD1
Dnmt3l,DNMT3L
Rax,RAX
Pdgfb,PDGFB
Rem1,REM1
Synj1,SYNJ1
Fgd1,FGD1
Wbp4,WBP4
St8sia6,ST8SIA6
Tmem86a,TMEM86A
Rnf114,RNF114
Fgf14,FGF14
Snap25,SNAP25
Agpat3,AGPAT3
Vapa,VAPA
Dct,DCT
Cst3,CST3
Pdgfa,PDGFA
Chodl,CHODL
Syngr1,SYNGR1
Spata13,SPATA13
Fkbp3,FKBP3
Hdhd2,HDHD2
Ascc2,ASCC2
Spag7,SPAG7
Nkx2-2,NKX2-2
Derl2,DERL2
Rsph1,RSPH1
Rab40c,RAB40C
Fam3b,FAM3B
Smchd1,SMCHD1
Kif3b,KIF3B
Samsn1,SAMSN1
Prkcq,PRKCQ
Ptf1a,PTF1A
Pnpla5,PNPLA5
Rpl3l,RPL3L
Tpgs2,TPGS2
Nr0b1,NR0B1
Aire,AIRE
Pigp,PIGP
Tekt4,MAFIP
Prkar1b,PRKAR1B
Gpc5,GPC5
Ubl3,UBL3
Vim,VIM
Efhc2,EFHC2
Sephs1,SEPHS1
Txnl1,TXNL1
Nalcn,NALCN
Wdfy2,WDFY2
Mb,MB
Slc37a1,SLC37A1
Rgn,RGN
Atp5o,ATP5PO
Gzf1,GZF1
Pfkfb1,PFKFB1
Rnf165,RNF165
Trappc10,TRAPPC10
Elmo2,ELMO2
Gad2,GAD2
Dnajc3,DNAJC3
Enkur,ENKUR
Arl5b,ARL5B
Mapk8,MAPK8
Eif4enif1,EIF4ENIF1
Celf4,CELF4
Fgf22,FGF22
Nsun6,NSUN6
Nudt5,NUDT5
Fxyd4,FXYD4
Slc25a17,SLC25A17
Sik1,SIK1
Smc1b,SMC1B
Osbp2,OSBP2
Jag1,JAG1
Axin1,AXIN1
Slc15a1,SLC15A1
Lrrc63,LRRC63
Olfm4,OLFM4
Slc14a2,SLC14A2
Slc1a1,SLC1A1
Clybl,CLYBL
Msrb2,MSRB2
Son,SON
Cplx4,CPLX4
Plgrkt,PLGRKT
Eya2,EYA2
Tff2,TFF2
Ttll12,TTLL12
Ripply3,RIPPLY3
Slc17a9,SLC17A9
Hao1,HAO1
Med16,MED16
Mrc1,MRC1
Mia2,CTAGE1
Cacna1i,CACNA1I
Ebpl,EBPL
Snx6,SNX6
Fam83f,FAM83F
Pcnt,PCNT
Xrn2,XRN2
Maged2,MAGED2
Sun5,SUN5
Cndp2,CNDP2
Tmprss3,TMPRSS3
Chgb,CHGB
Elp2,ELP2
Cubn,CUBN
Smad2,SMAD2
Pfkfb3,PFKFB3
Ankfy1,ANKFY1
Pmaip1,PMAIP1
Gpcpd1,GPCPD1
Tmem47,TMEM47
Efhb,EFHB
Dyrk1a,DYRK1A
Ndufv3,NDUFV3
Smad4,SMAD4
Gins1,GINS1
Dstn,DSTN
Icosl,ICOSLG
Pknox1,PKNOX1
Mindy3,MINDY3
Tsr2,TSR2
Nup50,NUP50
Cd93,CD93
Tnfrsf11a,TNFRSF11A
Paxbp1,PAXBP1
Slc35c2,SLC35C2
Chm,CHM
Myo3a,MYO3A
Col6a2,COL6A2
Ercc5,BIVM-ERCC5
Ercc5,BIVM
Tmx3,TMX3
Slc19a1,SLC19A1
Serpinb8,SERPINB8
Tomm34,TOMM34
Sult4a1,SULT4A1
Prorp,PRORP
Samm50,SAMM50
Cdadc1,CDADC1
4921504E06Rik,C10orf67
Riok3,RIOK3
Mcm3ap,MCM3AP
Mob2,MOB2
Fam234a,FAM234A
Mis18a,MIS18A
Mmp11,MMP11
Mbd2,MBD2
Sec23b,SEC23B
Slc39a6,SLC39A6
P2rx5,P2RX5-TAX1BP3
Pdyn,PDYN
Slx4ip,SLX4IP
Ribc2,RIBC2
Dnajc1,DNAJC1
Cryaa,CRYAA
Crls1,CRLS1
Ift27,IFT27
Sec11c,SEC11C
St13,ST13
Tubal3,TUBAL3
Rps6ka6,RPS6KA6
Tex30,TEX30
Fam20c,FAM20C
Zfp521,ZNF521
Bmi1,BMI1
Cst8,CST8
Miox,MIOX
Wnt7b,WNT7B
Npc1,NPC1
P2rx1,P2RX1
Smdt1,SMDT1
Sucla2,SUCLA2
Get4,GET4
Ccdc117,CCDC117
Rcl1,RCL1
Rbfa,RBFA
Nova1,NOVA1
Stard13,STARD13
Rbbp9,RBBP9
Tm9sf2,TM9SF2
Fam110a,FAM110A
Pimreg,PIMREG
Pdcd1lg2,PDCD1LG2
Uchl3,UCHL3
Cyth4,CYTH4
Pacsin2,PACSIN2
Polr2e,POLR2E
Etv1,ETV1
2610028H24Rik,C21orf58
Prrg4,PRRG4
Rnf151,RNF151
Atp9b,ATP9B
Trdmt1,TRDMT1
Ccdc3,CCDC3
Klf6,KLF6
Patz1,PATZ1
Tro,TRO
Col18a1,COL18A1
Cbs,CBSL
Cbs,CBS
Ncln,NCLN
Tollip,TOLLIP
Sumo3,SUMO3
Meig1,MEIG1
Itm2b,ITM2B
Epsti1,EPSTI1
Pcsk2,PCSK2
Atp5a1,ATP5F1A
Tff1,TFF1
Atp7b,ATP7B
Clcn5,CLCN5
Suv39h2,SUV39H2
Ttll1,TTLL1
Runx1,RUNX1
Tgm6,TGM6
Taf3,TAF3
2700062C07Rik,C18orf21
Tyms,TYMS
Drg1,DRG1
Cldn10,CLDN10
Camkk1,CAMKK1
D16Ertd472e,C21orf91
Rnaseh2b,RNASEH2B
Ada,ADA
Rab27b,RAB27B
Hsf2bp,HSF2BP
Il2ra,IL2RA
Cnn2,CNN2
Vpreb3,VPREB3
Stk4,STK4
Me2,ME2
Il15ra,IL15RA
Bik,BIK
Ptpn2,PTPN2
Twsg1,TWSG1
Pfkl,PFKL
Cfap298,CFAP298
Cfap298,CFAP298-TCP10L
Fbxl16,FBXL16
Itgae,ITGAE
Scml2,SCML2
Gata3,GATA3
Clic6,CLIC6
Lcp1,LCP1
Xbp1,XBP1
Frmd4a,FRMD4A
Ripk4,RIPK4
Pisd,PISD
Slc23a2,SLC23A2
Scin,SCIN
Gabpa,GABPA
Spaca7,SPACA7
Hps5,HPS5
Uba1,UBA1
Grp,GRP
Rrbp1,RRBP1
Galr1,GALR1
Tspan13,TSPAN13
Ets2,ETS2
Xpnpep3,XPNPEP3
Kcnq1,KCNQ1
Kdelr3,KDELR3
Cdc37l1,CDC37L1
Cpb2,CPB2
Fbln1,FBLN1
Setd4,SETD4
Defb22,DEFB127
Myo5b,MYO5B
Csnk1e,TPTEP2-CSNK1E
Csnk1e,CSNK1E
Trpm5,TRPM5
Rbx1,RBX1
Efna2,EFNA2
Polrmt,POLRMT
Med4,MED4
Txn2,TXN2
Impact,IMPACT
Phf21b,PHF21B
Slc25a30,SLC25A30
Limk2,LIMK2
Zfp397,ZNF397
Atp12a,ATP12A
Celf2,CELF2
Brwd1,BRWD1
Pstpip2,PSTPIP2
Tmem230,TMEM230
Uqcc1,UQCC1
Glra2,GLRA2
Tdrd3,TDRD3
Syt4,SYT4
Adamts1,ADAMTS1
Ccdc178,CCDC178
Rmc1,RMC1
Klhl4,KLHL4
Atxn10,ATXN10
Snrpb2,SNRPB2
Upk3a,UPK3A
Abca7,ABCA7
Itgbl1,ITGBL1
Ppp6r2,PPP6R2
Kif4,KIF4A
Klf8,KLF8
Cpvl,CPVL
Mir1a-2,MIR1-2
Mrap,MRAP
Myh7b,MYH7B
Dip2c,DIP2C
Prr5,PRR5
D630003M21Rik,KIAA1755
Mir99a,MIR99A
Polr1d,POLR1D
Lama1,LAMA1
Traf7,TRAF7
Alox5ap,ALOX5AP
Slc16a2,SLC16A2
Gm22769,RNU6-346P
Radil,RADIL
Fgf16,FGF16
Atp4b,ATP4B
Isx,ISX
H2ap,H2AP
Crlf2,CRLF2
Exosc8,EXOSC8
Adnp2,ADNP2
Rit2,RIT2
Cdpf1,CDPF1
Mn1,MN1
Ppp1r16b,PPP1R16B
Wnt7a,WNT7A
Apol6,APOL6
Nanp,NANP
Cldn34b2,CLDN34
Gm4737,AHCY
Pla2g6,PLA2G6
Gpr146,GPR146
Medag,MEDAG
Cdc123,CDC123
Snora31,SNORA31
Tamm41,TAMM41
Srpx,SRPX
Phka2,PHKA2
Cep76,CEP76
Sertm1,SERTM1
Zfp941,ZNF519
Gtpbp6,GTPBP6
Nubpl,NUBPL
Pabpc5,PABPC5
Hmgn1,HMGN1
Sptlc3,SPTLC3
Eno3,ENO3
1700029H14Rik,C13orf46
Gpc6,GPC6
Psma7,PSMA7
Lgals2,LGALS2
Iglc2,IGLL5
Iglc2,IGLL1
Iglc2,IGLC3
Iglc2,IGLC1
Cbr1,CBR1
Nol12,NOL12
Gm25322,RNU6-83P
Gm25918,RNU6-706P
Ripor3,RIPOR3
Gm24735,RNU6-1278P
Sim2,SIM2
Dnajb7,DNAJB7
Col4a2,COL4A2
Rbm3,RBM3
Stoml3,STOML3
Nhlrc3,NHLRC3
Serpinb10,SERPINB10
Zfp24,ZNF24
Cbln4,CBLN4
Nupl1,NUP58
Txnl4a,TXNL4A
Kctd1,KCTD1
Mir18,MIR18A
Pim2,PIM2
4930415L06Rik,PPP4R3C
Tmem255b,TMEM255B
Cdk8,CDK8
Asxl1,ASXL1
Zadh2,ZADH2
Eif1ax,EIF1AX
Ints1,INTS1
C2cd4c,C2CD4C
Grk3,GRK3
Brsk2,BRSK2
Tgif1,TGIF1
Ctps2,CTPS2
F10,F10
Mex3c,MEX3C
Kcns1,KCNS1
Pck1,PCK1
Kcne2,KCNE2
Ndfip2,NDFIP2
Stard6,STARD6
Rubcnl,RUBCNL
Ubash3a,UBASH3A
Ccdc169,CCDC169
Gm22305,RNU6-142P
Mir20a,MIR20A
Tpte,TPTE2
Tpte,TPTE
Pde9a,PDE9A
Mkx,MKX
Olfr1289,OR4F17
Dok6,DOK6
Fam83d,FAM83D
Scrt2,SCRT2
Mospd2,MOSPD2
Pin4,PIN4
Tfdp1,TFDP1
Nudt11,NUDT11
Dcaf8l,DCAF8L2
Map7d2,MAP7D2
Fancb,FANCB
Smpx,SMPX
Cntln,CNTLN
Rnf125,RNF125
Klhl34,KLHL34
Chst9,CHST9
Ncoa6,NCOA6
Abhd12,ABHD12
Lig4,LIG4
Ascc1,ASCC1
Ift88,IFT88
Tbc1d22a,TBC1D22A
Usp6nl,USP6NL
S100b,S100B
Pms2,PMS2
Arhgap12,ARHGAP12
Bace2,BACE2
A4galt,A4GALT
Elac1,ELAC1
Serpinb7,SERPINB7
Rbp3,RBP3
Wfdc5,WFDC5
Jmjd1c,JMJD1C
Kcnk15,KCNK15
Ttyh3,TTYH3
1700016K19Rik,C17orf97
Ucn3,UCN3
Nrip1,NRIP1
Lfng,LFNG
Gm9112,FAM236B
Eif2s3y,EIF2S3
Ninl,NINL
Pitpnm3,PITPNM3
Rbbp8,RBBP8
Zbtb21,ZBTB21
Chadl,CHADL
Morc3,MORC3
Calcb,CALCB
Dclk1,DCLK1
Gm5426,ATP5MGL
Alg12,ALG12
Cnga4,CNGA4
Gm25489,RNU1-98P
Lrrn4,LRRN4
Ttc39b,TTC39B
Shisal1,SHISAL1
Mbp,MBP
Rbm38,RBM38
Rai2,RAI2
Rrp1,RRP1
Gatd3a,GATD3A
Gm22005,RNU4-45P
Brwd3,BRWD3
Cndp1,CNDP1
Palm,PALM
Rps6ka3,RPS6KA3
Olfr211,OR13A1
Taf4b,TAF4B
Tcp10a,TCP10L
Hspa13,HSPA13
Cog3,COG3
Gm23124,RNU6-349P
Slc6a1,SLC6A1
Myo16,MYO16
Lmo7,LMO7
Slc7a3,SLC7A3
Tox2,TOX2
Gm23453,RNU6-1032P
Tmem241,TMEM241
Cdk5rap1,CDK5RAP1
Plpp2,PLPP2
Nxph1,NXPH1
Lipi,LIPI
Stk33,STK33
Rtl3,RTL3
Crybb2,CRYBB2
Acaa2,ACAA2
Garem1,GAREM1
Prkx,PRKX
Zdhhc13,ZDHHC13
Trp53rka,TP53RK
Arl4a,ARL4A
Eif2ak1,EIF2AK1
Pcid2,PCID2
St8sia3,ST8SIA3
Nudt15,NUDT15
Muc5ac,MUC5AC
Cdkl5,CDKL5
Trim13,TRIM13
Dync1li1,DYNC1LI1
Pbdc1,PBDC1
Bpifb6,BPIFB6
Hunk,HUNK
N4bp2l1,N4BP2L1
Rfxap,RFXAP
Inca1,INCA1
Tpt1,TPT1
Prps1l1,PRPS1L1
Ap5z1,AP5Z1
Cdkn2b,CDKN2B
Slain1,SLAIN1
Erg,ERG
Eda,EDA
Tmco3,TMCO3
Tmppe,TMPPE
Slitrk6,SLITRK6
Kcnj6,KCNJ6
Ptprt,PTPRT
Eva1c,EVA1C
Smim11,SMIM11A
Proser2,PROSER2
Pygb,PYGB
Gm23796,RNU1-139P
Slc46a3,SLC46A3
Ralgapa2,RALGAPA2
Gm24848,RNU6-77P
Pitpnb,PITPNB
Gm23246,SNORD31B
Defb20,DEFB128
Grpr,GRPR
Med14,MED14
AW554918,KIAA1328
Bpifb2,BPIFB2
Ybey,YBEY
Gm8251,CCDC168
Ric3,RIC3
Pof1b,POF1B
Rp2,RP2
Pou4f1,POU4F1
Tceal9,TCEAL9
Zar1l,ZAR1L
Ndufa4,NDUFA4
Fam124a,FAM124A
Btbd3,BTBD3
Gm50364,IER3IP1
Adm2,ADM2
Rnf126,RNF126
Dcun1d2,DCUN1D2
Gm25163,RNU6-1150P
Nup88,NUP88
Lgals1,LGALS1
Tex26,TEX26
Ssu2,SSUH2
Raly,RALY
Mc3r,MC3R
Mir17,MIR17
Grin3b,GRIN3B
Tnrc6b,TNRC6B
Cckbr,CCKBR
Cst7,CST7
Commd3,COMMD3
Sez6l,SEZ6L
Ptchd1,PTCHD1
Ncf4,NCF4
Mir155,MIR155
Gm24708,RNU6-73P
Ism1,ISM1
Wfdc11,WFDC11
Uprt,UPRT
Dgkh,DGKH
Tssc4,TSSC4
Gata1,GATA1
Phyhipl,PHYHIPL
Hdx,HDX
Gas6,GAS6
Elfn2,ELFN2
Zfand2a,ZFAND2A
Tasp1,TASP1
Malrd1,MALRD1
Adgrg2,ADGRG2
Cdh22,CDH22
Adig,ADIG
Rasl11a,RASL11A
Ocstamp,OCSTAMP
Arglu1,ARGLU1
Jade3,JADE3
C2cd2,C2CD2
Amelx,AMELX
Aimp2,AIMP2
Zzef1,ZZEF1
Defb29,DEFB116
Stxbp6,STXBP6
Dzank1,DZANK1
Cul4a,CUL4A
Supt20,SUPT20H
Wdr90,WDR90
Upf2,UPF2
C1qtnf9,C1QTNF9B
Dnajc28,DNAJC28
Rcbtb1,RCBTB1
Krtap13-1,KRTAP13-2
Zbed4,ZBED4
Hrh4,HRH4
Itih2,ITIH2
F7,F7
Skor2,SKOR2
Gprin2,GPRIN2
Sbf1,SBF1
Maff,MAFF
Timm17b,TIMM17B
Tpp2,TPP2
Gm23300,SNORA80A
Mro,MRO
Rrp1b,RRP1B
Wfikkn1,WFIKKN1
Mir19b-1,MIR19B1
Soga1,SOGA1
Sgcg,SGCG
Zmynd8,ZMYND8
Pim3,PIM3
Cdc42ep1,CDC42EP1
Foxo1,FOXO1
Stt3b,STT3B
Armcx2,ARMCX2
Rln1,RLN1
Nox1,NOX1
Pir,PIR
Apmap,APMAP
Shld1,SHLD1
Mir19a,MIR19A
Hdac8,HDAC8
Cited1,CITED1
Cisd1,CISD1
Arfgap3,ARFGAP3
U2af1,U2AF1
Zc4h2,ZC4H2
Fbxo15,FBXO15
Kcnrg,KCNRG
Mirlet7c-1,MIRLET7C
Rap1gap2,RAP1GAP2
Flt3,FLT3
Etl4,KIAA1217
Gm22354,SNORD58B
Sirpb1c,SIRPG
Slc35a2,SLC35A2
Crybb3,CRYBB3
Rad18,RAD18
Cbx7,CBX7
Igf2,IGF2
Muc5b,MUC5B
Rbm11,RBM11
Tgm2,TGM2
Cav3,CAV3
Rs1,RS1
Adarb2,ADARB2
Grtp1,GRTP1
Spata2,SPATA2
Siglec15,SIGLEC15
Plpp6,PLPP6
Dcc,DCC
Pkd1,PKD1
Csf2rb2,CSF2RB
3110082I17Rik,C7orf50
Abhd13,ABHD13
Tmtc4,TMTC4
Ralgapb,RALGAPB
Cd226,CD226
Cdc16,CDC16
Acss2,ACSS2
Neto1,NETO1
Triobp,TRIOBP
Pwp2,PWP2
Dynlt3,DYNLT3
Atp9a,ATP9A
Cldn14,CLDN14
Siah3,SIAH3
Ss18,SS18
Foxa1,FOXA1
Gm25609,RNU6-696P
Pcdh9,PCDH9
Haus1,HAUS1
Champ1,CHAMP1
Plcl2,PLCL2
Eapp,EAPP
Ctnnbl1,CTNNBL1
Ankrd61,ANKRD61
Slc14a1,SLC14A1
Slc35e4,SLC35E4
Wfdc9,WFDC9
Meox2,MEOX2
Nkx2-4,NKX2-4
Onecut3,ONECUT3
Znrf3,ZNRF3
Depdc5,DEPDC5
Bpifa5,BPIFA1
Lipg,LIPG
Apbb1,APBB1
Gfer,GFER
Trpc4,TRPC4
Kcnj15,KCNJ15
Sox1,SOX1
Arhgap8,PRR5-ARHGAP8
Epg5,EPG5
Otc,OTC
Rsph10b,RSPH10B
Rsph10b,RSPH10B2
Htr2a,HTR2A
Gm26226,RNU6-426P
Gm26226,RNU6-58P
Papolb,PAPOLB
Rfc3,RFC3
Asmt,ASMT
Atp6ap2,ATP6AP2
Gm25141,RNU6-396P
Rasd2,RASD2
S100g,S100G
Arl11,ARL11
Ska1,SKA1
Arhgap5,ARHGAP5
Mc4r,MC4R
Dzip1,DZIP1
Gripap1,GRIPAP1
Gm24461,RNU6-76P
Pcdh17,PCDH17
Sdk1,SDK1
Edem2,EDEM2
Gsx1,GSX1
Defb26,DEFB125
Slc25a16,SLC25A16
Irs2,IRS2
Gpr183,GPR183
Pth,PTH
Fam216b,FAM216B
Mcat,MCAT
Poldip3,POLDIP3
Uggt2,UGGT2
Vstm4,VSTM4
Ptpn5,PTPN5
Ica1,ICA1
Ttc3,TTC3
Cryzl1,CRYZL1
Prr14l,PRR14L
Serpinb2,SERPINB2
9930021J03Rik,KIAA2026
Rimbp3,RIMBP3B
Olfr547,OR52B4
Ankrd12,ANKRD12
Zcchc2,ZCCHC2
Gm5901,C11orf42
Tmem72,TMEM72
Adap1,ADAP1
Krtap27-1,KRTAP27-1
Gdf2,GDF2
Sox21,SOX21
Cysltr1,CYSLTR1
Micall2,MICALL2
Klhl15,KLHL15
Gm26131,RNU6-66P
Cfd,CFD
Slitrk1,SLITRK1
Tax1bp3,TAX1BP3
Sun1,SUN1
Fam155a,FAM155A
Ankrd54,ANKRD54
Armc3,ARMC3
4932438H23Rik,C21orf62
Mir133a-1,MIR133A1
Ncoa3,NCOA3
Ddx17,DDX17
Tuba3b,TUBA3C
Gga1,GGA1
Tcf4,TCF4
Lrrc30,LRRC30
Rbfox2,RBFOX2
Lif,LIF
Defb28,DEFB115
Txlng,TXLNG
Reps2,REPS2
Rnf152,RNF152
Echdc3,ECHDC3
Cpxcr1,CPXCR1
Tent5d,TENT5D
Defb19,DEFB119
Nxt1,NXT1
Scimp,SCIMP
Ttc28,TTC28
Psmg3,PSMG3
Mageb16,MAGEB16
Ric1,RIC1
Tmem189,PEDS1
Mir15a,MIR15A
Wdr13,WDR13
Rprd1a,RPRD1A
Cog6,COG6
Tspo,TSPO
Mrps31,MRPS31
Bod1,BOD1L2
Larp4b,LARP4B
Tmx4,TMX4
R3hdm4,R3HDM4
Sun2,SUN2
Cfap97d2,CFAP97D2
Dscam,DSCAM
Cyp24a1,CYP24A1
Usp27x,USP27X
Rbm17,RBM17
Plcb1,PLCB1
Gm23202,SNORA27
Uncx,UNCX
Defb36,DEFB123
Pla2g3,PLA2G3
Syap1,SYAP1
Krtap7-1,KRTAP7-1
Mcf2l,MCF2L
Syndig1,SYNDIG1
Grap2,GRAP2
Gm25913,SCARNA17
Upf3a,UPF3A
Tspyl2,TSPYL2
Zcchc13,ZCCHC13
Dhx35,DHX35
8030462N17Rik,C18orf25
Rasa3,RASA3
Itga9,ITGA9
Rpl3,RPL3
Tbc1d25,TBC1D25
Tst,TST
Misp,MISP
Rnf167,RNF167
C1galt1,C1GALT1
Tle6,TLE6
Slc32a1,SLC32A1
Cirbp,CIRBP
Sh3bgr,GET1-SH3BGR
Lrch1,LRCH1
4930590J08Rik,C3orf20
Cdh20,CDH20
Pnpla3,PNPLA3
Thsd7a,THSD7A
S1pr4,S1PR4
Rnf113a1,RNF113B
Osm,OSM
Ttc38,TTC38
Rpp38,RPP38
Wfdc12,WFDC12
Slc9a7,SLC9A7
Syn3,SYN3
Hccs,HCCS
Hsbp1l1,HSBP1L1
Trmt6,TRMT6
Lmo1,LMO1
Lamp1,LAMP1
Abcc4,ABCC4
Cnbd2,CNBD2
Pcsk1n,PCSK1N
4930503L19Rik,C18orf54
Sgsm2,SGSM2
Sytl5,SYTL5
Akr1e1,AKR1E2
Slc7a1,SLC7A1
Map1lc3a,MAP1LC3A
Zfp78,ZNF337
Snai1,SNAI1
Cdh19,CDH19
Pard6g,PARD6G
Zmym5,ZMYM5
Sbno2,SBNO2
Bpi,BPI
Phf8,PHF8
Ankrd29,ANKRD29
Mbtps2,MBTPS2
Bpifb3,BPIFB3
